FECHA,PERSONAL,HORA ENTRADA MAÑANA,HORA SALIDA MAÑANA,HORA DE ENTRADA TARDE,HORA SALIDA TARDE,Total de Horas
2024-10-30,WN,08:00,13:00,13:30,16:00,07:30
2024-10-30,RV,08:00,13:00,13:30,19:00,10:30
2024-10-30,YX,08:20,13:00,13:45,19:30,10:25
2024-10-30,IL,,,,,00:00
2024-10-30,MA,08:00,13:00,15:00,20:00,10:00
2024-10-30,EB,08:00,13:00,15:00,19:00,09:00
2024-10-30,TC,09:15,13:00,14:00,19:30,09:15
2024-10-30,DF,,,,,00:00
2024-10-30,PJ,08:00,13:00,13:30,19:00,10:30
2024-10-30,HJ,12:00,13:00,13:00,19:00,07:00
2024-10-30,DO,08:00,13:00,13:30,18:30,10:00
2024-10-30,RG,,,,,00:00
2024-10-30,SS,08:00,13:00,13:45,18:15,09:30
2024-10-30,JE,,,,,00:00
2024-10-30,CE,,,,,00:00
2024-10-30,VE,08:40,13:00,15:00,20:00,09:20
2024-10-30,AV,08:00,13:00,13:30,18:30,10:00
2024-10-30,JJ,08:30,13:00,13:30,19:30,10:30
2024-10-30,MM,08:05,13:00,13:45,18:30,09:40
2024-10-30,HA,08:30,13:00,13:30,19:30,10:30
2024-10-30,CA,08:00,13:00,13:30,19:35,11:05
2024-10-30,EW,08:00,13:00,13:30,18:30,10:00
2024-10-30,GS,,,,,00:00
2024-10-30,KK,08:00,13:00,15:00,20:00,10:00
