FECHA,PERSONAL,HORA ENTRADA MA¥ANA,HORA SALIDA MA¥ANA,HORA DE ENTRADA TARDE,HORA SALIDA TARDE,Total de Horas,,
2024-11-02,PJ,08:05,13:00,14:00,17:00,07:55,,
2024-11-02,HJ,,,,,00:00,,
2024-11-02,DO,08:00,13:30,16:00,17:00,06:30,,
2024-11-02,RG,,,,,00:00,,
2024-11-02,SS,,,,,00:00,,
2024-11-02,JE,08:00,13:00,14:00,17:00,08:00,,
2024-11-02,CE,,,,,00:00,,
2024-11-02,VE,08:00,13:00,15:00,17:00,07:00,,
2024-11-02,AV,08:00,13:00,14:00,17:00,08:00,,
2024-11-02,JJ,08:00,13:00,,,05:00,,
2024-11-02,MM,09:20,13:00,13:45,17:00,06:55,,
2024-11-02,HA,08:00,13:00,13:30,17:00,08:30,,
2024-11-02,CA,08:00,13:00,14:00,17:00,08:00,,
2024-11-02,EW,08:00,13:00,13:30,17:00,08:30,,
2024-11-02,GS,,,,,00:00,,
2024-11-02,KK,08:00,13:00,15:00,17:30,07:30,,
2024-11-02,WN,08:00,13:00,13:30,17:00,08:30,,
2024-11-02,RV,08:00,13:00,13:30,17:00,08:30,,
2024-11-02,YX,08:10,13:00,13:45,16:30,07:35,,
2024-11-02,IL,,,,,00:00,,
2024-11-02,MA,08:00,13:00,15:00,19:00,09:00,,
2024-11-02,EB,,,,,00:00,,
2024-11-02,TC,09:10,13:00,15:00,17:00,05:50,,
2024-11-02,DF,,,,,00:00,,
2024-11-02,WZ,11:00,13:00,15:00,17:30,04:30,,
2024-11-04,PJ,08:00,13:00,,,05:00,,
2024-11-04,HJ,,,12:00,19:00,07:00,,
2024-11-04,DO,08:00,13:00,14:00,19:00,10:00,,
2024-11-04,RG,,,,,00:00,,
2024-11-04,SS,08:00,13:00,15:00,19:00,09:00,,
2024-11-04,JE,08:00,13:00,13:30,19:00,10:30,,
2024-11-04,CE,,,,,00:00,,
2024-11-04,VE,08:00,14:00,15:30,19:30,10:00,,
2024-11-04,AV,08:05,13:00,13:30,15:00,06:25,,
2024-11-04,JJ,08:00,13:00,13:30,19:30,11:00,,
2024-11-04,MM,08:00,13:00,13:45,19:00,10:15,,
2024-11-04,HA,08:00,13:00,13:30,19:30,11:00,,
2024-11-04,CA,08:00,13:00,13:30,18:30,10:00,,
2024-11-04,EW,,,,,00:00,,
2024-11-04,GS,,,,,00:00,,
2024-11-04,KK,08:00,13:00,15:00,20:00,10:00,,
2024-11-04,WN,08:00,13:00,13:45,18:15,09:30,,
2024-11-04,RV,08:00,13:00,13:45,19:00,10:15,,
2024-11-04,YX,,,,,00:00,,
2024-11-04,IL,,,,,00:00,,
2024-11-04,MA,08:00,13:00,15:00,20:00,10:00,,
2024-11-04,EB,08:05,13:00,15:15,19:00,08:40,,
2024-11-04,TC,09:00,13:00,15:15,19:30,08:15,,
2024-11-04,DF,,,,,00:00,,
2024-11-04,WZ,08:00,13:00,15:00,20:00,10:00,,
2024-11-05,PJ,08:00,13:00,13:30,19:00,10:30,,
2024-11-05,HJ,,,12:15,19:00,06:45,,
2024-11-05,DO,08:10,13:00,13:30,19:00,10:20,,
2024-11-05,RG,,,,,00:00,,
2024-11-05,SS,08:00,13:00,13:45,19:00,10:15,,
2024-11-05,JE,08:00,13:00,13:30,19:00,10:30,,
2024-11-05,CE,,,,,00:00,,
2024-11-05,VE,09:40,13:00,15:00,19:00,07:20,,
2024-11-05,AV,08:00,13:00,13:30,18:30,10:00,,
2024-11-05,JJ,08:00,13:00,13:30,19:00,10:30,,
2024-11-05,MM,08:00,13:00,13:45,19:00,10:15,,
2024-11-05,HA,08:00,13:00,13:30,19:00,10:30,,
2024-11-05,CA,08:00,13:00,13:30,18:30,10:00,,
2024-11-05,EW,08:00,13:00,13:30,18:30,10:00,,
2024-11-05,GS,,,,,00:00,,
2024-11-05,KK,,,,,00:00,,
2024-11-05,WN,08:05,13:00,13:30,19:00,10:25,,
2024-11-05,RV,08:00,13:00,13:30,19:00,10:30,,
2024-11-05,YX,08:05,13:00,13:45,19:00,10:10,,
2024-11-05,IL,,,,,00:00,,
2024-11-05,MA,08:00,13:00,15:00,20:00,10:00,,
2024-11-05,EB,08:00,13:00,15:00,19:00,09:00,,
2024-11-05,TC,09:20,13:00,13:45,19:00,08:55,,
2024-11-05,DF,,,,,00:00,,
2024-11-05,WZ,08:00,13:00,15:00,20:00,10:00,,
2024-11-06,PJ,08:00,13:00,13:30,18:35,10:05,,
2024-11-06,HJ,,,12:05,19:00,06:55,,
2024-11-06,DO,08:05,13:00,13:30,19:00,10:25,,
2024-11-06,RG,,,,,00:00,,
2024-11-06,SS,08:00,13:00,13:45,19:00,10:15,,
2024-11-06,JE,08:00,13:00,13:30,17:00,08:30,,
2024-11-06,CE,,,,,00:00,,
2024-11-06,VE,08:00,13:40,15:30,19:00,09:10,,
2024-11-06,AV,08:00,13:00,13:30,18:30,10:00,,
2024-11-06,JJ,08:00,13:00,13:30,19:00,10:30,,
2024-11-06,MM,08:00,13:00,13:45,19:00,10:15,,
2024-11-06,HA,08:00,13:00,13:30,19:00,10:30,,
2024-11-06,CA,08:00,13:00,13:30,18:30,10:00,,
2024-11-06,EW,08:00,13:00,13:30,17:25,08:55,,
2024-11-06,GS,,,,,00:00,,
2024-11-06,KK,08:00,13:00,,,05:00,,
2024-11-06,WN,08:10,13:00,13:30,19:00,10:20,,
2024-11-06,RV,08:00,13:00,13:30,19:00,10:30,,
2024-11-06,YX,08:00,13:00,13:45,19:00,10:15,,
2024-11-06,IL,,,,,00:00,,
2024-11-06,MA,09:30,13:00,15:00,20:00,08:30,,
2024-11-06,EB,08:00,13:00,15:00,19:00,09:00,,
2024-11-06,TC,09:15,13:00,13:45,19:00,09:00,,
2024-11-06,DF,,,,,00:00,,
2024-11-06,WZ,08:00,13:00,15:00,20:00,10:00,,
2024-11-07,PJ,08:00,13:00,13:30,19:00,10:30,,
2024-11-07,HJ,,,12:00,19:00,07:00,,
2024-11-07,DO,08:00,13:00,13:30,19:00,10:30,,
2024-11-07,RG,,,,,00:00,,
2024-11-07,SS,08:20,13:00,13:45,19:00,09:55,,
2024-11-07,JE,08:00,13:00,13:30,19:00,10:30,,
2024-11-07,CE,,,,,00:00,,
2024-11-07,VE,08:00,13:00,15:00,20:00,10:00,,
2024-11-07,AV,08:00,13:00,,,05:00,,
2024-11-07,JJ,08:00,13:00,13:30,19:00,10:30,,
2024-11-07,MM,08:00,13:00,13:45,19:00,10:15,,
2024-11-07,HA,08:00,13:00,13:30,20:00,11:30,,
2024-11-07,CA,08:10,13:00,13:30,18:45,10:05,,
2024-11-07,EW,08:00,13:00,13:30,18:30,10:00,,
2024-11-07,GS,,,,,00:00,,
2024-11-07,KK,08:00,13:00,15:00,20:00,10:00,,
2024-11-07,WN,08:45,13:00,13:45,19:00,09:30,,
2024-11-07,RV,08:00,13:00,13:30,19:00,10:30,,
2024-11-07,YX,08:15,13:00,13:45,19:00,10:00,,
2024-11-07,IL,,,,,00:00,,
2024-11-07,MA,08:00,13:00,15:00,20:00,10:00,,
2024-11-07,EB,08:00,13:00,15:00,19:00,09:00,,
2024-11-07,TC,09:10,13:00,13:45,19:00,09:05,,
2024-11-07,DF,,,,,00:00,,
2024-11-07,WZ,08:00,13:00,15:00,20:00,10:00,,
2024-11-08,PJ,08:00,13:00,13:30,18:50,10:20,,
2024-11-08,HJ,,,12:00,19:00,07:00,,
2024-11-08,DO,08:05,13:00,13:30,18:30,09:55,,
2024-11-08,RG,,,,,00:00,,
2024-11-08,SS,08:00,13:00,13:45,18:00,09:15,,
2024-11-08,JE,08:00,13:00,13:30,19:00,10:30,,
2024-11-08,CE,,,,,00:00,,
2024-11-08,VE,08:00,13:00,15:00,19:00,09:00,,
2024-11-08,AV,08:00,13:00,13:30,18:30,10:00,,
2024-11-08,JJ,08:00,13:00,13:30,19:00,10:30,,
2024-11-08,MM,08:00,13:00,13:45,19:00,10:15,,
2024-11-08,HA,08:00,13:00,13:30,19:00,10:30,,
2024-11-08,CA,09:50,13:00,13:30,16:50,06:30,,
2024-11-08,EW,08:00,13:00,13:30,18:30,10:00,,
2024-11-08,GS,,,,,00:00,,
2024-11-08,KK,08:00,13:00,15:00,19:00,09:00,,
2024-11-08,WN,08:05,13:00,13:30,19:00,10:25,,
2024-11-08,RV,08:00,13:00,13:30,19:00,10:30,,
2024-11-08,YX,08:00,13:00,13:45,19:00,10:15,,
2024-11-08,IL,,,,,00:00,,
2024-11-08,MA,08:00,13:00,15:00,20:00,10:00,,
2024-11-08,EB,08:00,13:00,15:00,19:00,09:00,,
2024-11-08,TC,09:15,13:00,14:40,19:00,08:05,,
2024-11-08,DF,,,,,00:00,,
2024-11-08,WZ,08:00,13:00,15:00,19:00,09:00,,
2024-11-09,PJ,08:00,13:00,13:30,17:00,08:30,,
2024-11-09,HJ,,,11:30,17:00,05:30,,
2024-11-09,DO,08:00,13:00,,,05:00,,
2024-11-09,RG,,,,,00:00,,
2024-11-09,SS,08:00,13:00,13:45,17:00,08:15,,
2024-11-09,JE,08:00,13:00,13:30,17:00,08:30,,
2024-11-09,CE,,,,,00:00,,
2024-11-09,VE,08:00,13:00,15:00,17:00,07:00,,
2024-11-09,AV,,,,,00:00,,
2024-11-09,JJ,08:00,13:00,13:30,17:00,08:30,,
2024-11-09,MM,08:00,13:00,13:30,17:00,08:30,,
2024-11-09,HA,08:00,13:00,13:30,17:00,08:30,,
2024-11-09,CA,,,,,00:00,,
2024-11-09,EW,08:00,13:00,13:30,17:00,08:30,,
2024-11-09,GS,,,,,00:00,,
2024-11-09,KK,08:00,13:00,15:00,17:00,07:00,,
2024-11-09,WN,08:00,13:00,13:45,17:00,08:15,,
2024-11-09,RV,08:00,13:00,13:30,17:00,08:30,,
2024-11-09,YX,08:05,09:00,,,00:55,,
2024-11-09,IL,,,,,00:00,,
2024-11-09,MA,08:00,13:00,15:00,17:00,07:00,,
2024-11-09,EB,08:00,13:00,13:45,15:00,06:15,,
2024-11-09,TC,09:30,13:00,13:30,15:00,05:00,,
2024-11-09,DF,,,,,00:00,,
2024-11-09,WZ,,,,,00:00,,
2024-11-11,PJ,08:00,13:00,13:30,18:45,10:15,,
2024-11-11,HJ,,,12:00,19:00,07:00,,
2024-11-11,DO,08:10,13:00,13:30,18:40,10:00,,
2024-11-11,RG,,,,,00:00,,
2024-11-11,SS,08:00,13:00,13:45,19:00,10:15,,
2024-11-11,JE,08:00,13:00,13:45,19:00,10:15,,
2024-11-11,CE,,,,,00:00,,
2024-11-11,VE,09:30,13:00,15:00,20:00,08:30,,
2024-11-11,AV,,,,,00:00,,
2024-11-11,JJ,09:00,13:00,13:30,19:00,09:30,,
2024-11-11,MM,08:00,13:00,13:45,18:00,09:15,,
2024-11-11,HA,08:00,13:00,13:30,19:00,10:30,,
2024-11-11,CA,08:05,13:00,13:30,18:45,10:10,,
2024-11-11,EW,08:00,13:00,13:30,18:30,10:00,,
2024-11-11,GS,,,,,00:00,,
2024-11-11,KK,08:00,13:00,15:00,20:00,10:00,,
2024-11-11,WN,08:00,13:00,13:45,19:00,10:15,,
2024-11-11,RV,08:00,13:00,13:30,19:00,10:30,,
2024-11-11,YX,,,,,00:00,,
2024-11-11,IL,,,,,00:00,,
2024-11-11,MA,08:00,13:00,15:00,20:00,10:00,,
2024-11-11,EB,08:00,13:00,15:00,19:00,09:00,,
2024-11-11,TC,09:15,13:00,14:00,20:00,09:45,,
2024-11-11,DF,,,,,00:00,,
2024-11-11,WZ,08:00,13:00,15:00,20:00,10:00,,
2024-11-12,PJ,08:00,13:00,13:30,15:00,06:30,,
2024-11-12,HJ,,,,,00:00,,
2024-11-12,DO,08:00,13:00,13:30,17:00,08:30,,
2024-11-12,RG,,,,,00:00,,
2024-11-12,SS,08:15,13:00,13:45,17:00,08:00,,
2024-11-12,JE,08:00,13:00,13:30,17:00,08:30,,
2024-11-12,CE,,,,,00:00,,
2024-11-12,VE,08:00,13:00,15:00,17:00,07:00,,
2024-11-12,AV,,,,,00:00,,
2024-11-12,JJ,08:00,13:00,13:30,17:00,08:30,,
2024-11-12,MM,08:00,13:00,13:45,17:00,08:15,,
2024-11-12,HA,08:00,13:00,13:30,17:00,08:30,,
2024-11-12,CA,,,,,00:00,,
2024-11-12,EW,,,,,00:00,,
2024-11-12,GS,,,,,00:00,,
2024-11-12,KK,,,,,00:00,,
2024-11-12,WN,,,,,00:00,,
2024-11-12,RV,08:00,13:00,13:30,19:00,10:30,,
2024-11-12,YX,08:15,13:00,13:45,17:00,08:00,,
2024-11-12,IL,,,,,00:00,,
2024-11-12,MA,08:00,13:00,15:00,19:00,09:00,,
2024-11-12,EB,,,,,00:00,,
2024-11-12,TC,,,,,00:00,,
2024-11-12,DF,,,,,00:00,,
2024-11-12,WZ,08:00,13:00,15:00,18:40,08:40,,
2024-11-13,PJ,08:00,13:00,13:30,18:50,10:20,,
2024-11-13,HJ,,,11:40,19:00,07:20,,
2024-11-13,DO,08:00,13:00,13:30,18:30,10:00,,
2024-11-13,RG,,,,,00:00,,
2024-11-13,SS,08:00,13:00,13:45,19:00,10:15,,
2024-11-13,JE,08:00,13:00,13:30,19:00,10:30,,
2024-11-13,CE,,,,,00:00,,
2024-11-13,VE,08:00,13:00,15:00,20:30,10:30,,
2024-11-13,AV,08:00,13:00,13:30,18:30,10:00,,
2024-11-13,JJ,08:00,13:00,13:30,19:00,10:30,,
2024-11-13,MM,08:00,13:00,13:45,19:00,10:15,,
2024-11-13,HA,08:00,13:00,13:30,19:00,10:30,,
2024-11-13,CA,08:00,13:00,13:30,19:00,10:30,,
2024-11-13,EW,08:00,13:00,13:30,19:00,10:30,,
2024-11-13,GS,,,,,00:00,,
2024-11-13,KK,,,,,00:00,,
2024-11-13,WN,08:00,13:00,,,05:00,,
2024-11-13,RV,08:00,13:00,13:30,19:00,10:30,,
2024-11-13,YX,08:20,13:00,16:15,20:00,08:25,,
2024-11-13,IL,,,,,00:00,,
2024-11-13,MA,08:00,13:00,15:00,20:00,10:00,,
2024-11-13,EB,08:00,13:00,15:15,19:00,08:45,,
2024-11-13,TC,,,16:15,20:00,03:45,,
